bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,84,162,24,-1
0,84,0,106,225,44,5
0,190,0,148,275,69,9
0,338,0,198,324,101,14
0,536,0,221,344,123,19
0,757,0,235,275,143,23
0,0,225,130,306,106,24
0,130,275,139,333,112,24
0,269,324,175,358,122,28
0,444,344,171,380,142,29
0,615,344,178,389,146,32
0,793,275,191,401,159,40
0,0,679,195,404,165,44
0,195,728,193,404,180,44
0,388,724,136,142,-7,1
0,524,733,139,134,-2,-3
0,663,733,128,121,5,3
0,791,733,116,119,1,3
0,0,1083,118,127,1,-3
0,118,1132,129,119,9,2
0,247,1132,119,128,3,0
0,366,1132,124,119,0,2
0,490,1018,142,161,0,6
0,632,867,169,173,-7,7
0,801,852,221,221,1,0
0,0,1260,281,249,-3,-2
0,281,1260,337,290,-9,-2
0,618,1179,350,327,-1,1
0,0,1550,307,262,-5,42
0,307,1550,135,117,-3,4
0,442,1550,132,132,-5,14
0,574,1550,130,141,-6,19
0,704,1506,134,137,-6,15
0,838,1506,117,150,4,11
0,0,1812,167,190,7,1
0,167,1812,212,219,7,2
0,379,1691,227,233,16,2
0,606,1691,254,244,10,12
