bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,335,511,0,0
0,335,0,363,505,14,-3
0,698,0,394,501,27,-4
0,1092,0,345,549,-3,20
0,1437,0,346,491,-1,-10
0,0,511,348,488,0,-11
0,348,505,346,482,1,-13
0,694,505,350,480,2,-14
0,1044,549,347,477,3,-16
0,1391,549,351,477,4,-16
0,0,999,352,473,4,-19
0,352,987,352,469,7,-19
0,704,1026,348,473,6,-19
0,1052,1026,343,472,3,-20
0,1395,1026,342,470,3,-20
0,0,1472,338,470,4,-19
0,338,1472,336,473,3,-18
0,674,1499,337,483,3,-15
0,1011,1499,335,486,3,-12
0,1346,1498,335,500,5,-6
0,1681,1496,334,506,2,-3
1,0,0,335,509,1,-1
1,335,0,195,349,5,-81
1,530,0,259,453,-1,-29
1,789,0,398,516,-36,2
1,1187,0,358,535,5,12
1,1545,0,384,552,11,20
1,0,509,411,547,-2,17
1,411,516,421,535,-6,11
1,832,535,401,519,-23,3
1,1233,552,396,497,-53,-7
1,0,1056,461,486,-34,-13
1,461,1054,513,460,-14,-27
1,974,1054,595,438,-4,-37
1,0,1542,595,434,3,-39
1,595,1514,589,409,1,-51
1,1184,1492,584,430,0,-42
2,0,0,576,437,-1,-38
2,576,0,569,453,0,-32
2,1145,0,549,456,-1,-27
2,0,437,533,498,-8,-6
2,533,453,525,476,6,-17
2,1058,456,496,484,2,-13
2,1554,456,469,492,2,-9
2,0,935,396,495,2,-7
2,396,935,369,498,0,-6
2,765,940,360,505,0,-1
2,1125,940,329,522,-2,8
2,1454,948,332,519,-3,7
2,0,1430,375,517,-24,5
2,375,1433,336,515,-2,4
2,711,1445,353,486,-2,-14
2,1064,1462,388,450,-3,-30
2,1452,1467,419,449,-4,-31
3,0,0,283,460,36,-23
3,283,0,291,455,35,-24
3,574,0,301,449,35,-28
3,875,0,327,434,29,-36
3,1202,0,319,414,12,-45
3,1521,0,313,394,-3,-55
3,0,460,305,396,-9,-55
3,305,455,308,397,-13,-54
3,613,449,333,424,-44,-41
3,946,434,561,442,92,-32
3,1507,414,250,455,-50,-24
3,1757,394,237,456,-48,-25
3,0,856,264,455,-40,-26
3,264,856,107,100,0,0
3,371,852,107,97,1,0
3,478,852,111,95,1,0
3,589,873,284,123,-85,16
3,873,876,111,92,2,0
3,984,876,114,99,3,-1
3,1098,876,444,445,-2,-33
3,1542,869,462,445,-6,-33
3,0,1311,458,450,-15,-30
3,458,996,415,467,-11,-22
3,873,1321,343,526,0,8
3,1216,1321,331,524,-1,7
