bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,236,160,61,0
0,236,0,160,141,2,-41
0,396,0,234,235,-8,-26
0,630,0,236,234,-9,-24
0,866,0,275,363,-16,-52
0,1141,0,357,384,-7,-13
0,1498,0,407,466,-11,0
0,0,235,489,518,9,23
0,489,363,488,481,32,59
0,977,384,439,327,15,140
0,1416,466,443,361,14,128
0,0,753,441,354,13,94
0,441,844,435,440,10,100
0,876,844,430,303,7,23
0,1306,827,236,160,63,0
0,1542,827,160,141,4,-40
0,1702,827,218,207,0,-41
0,0,1107,242,273,-6,-30
0,242,1284,291,331,-7,-26
0,533,1284,358,349,5,-27
0,891,1147,437,395,11,-17
0,1328,987,370,392,0,-30
0,0,1615,367,278,0,-13
0,367,1633,378,284,7,-27
0,745,1633,84,145,-2,0
0,829,1633,82,145,0,0
0,911,1542,91,146,0,0
0,1002,1542,83,145,-1,0
0,1085,1542,87,147,-1,0
0,1172,1542,83,142,2,-1
0,1255,1542,58,78,0,0
0,1313,1542,59,77,-1,0
0,1372,1379,57,76,0,0
0,1429,1379,57,79,-1,0
0,1486,1379,58,78,1,-1
0,1544,1379,60,79,1,-1
