bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,232,198,13,-2
0,232,0,224,185,13,-1
0,456,0,224,177,13,0
0,680,0,317,305,1,2
0,997,0,402,387,6,2
0,1399,0,383,368,5,8
0,0,198,361,347,2,10
0,361,305,335,328,-1,8
0,696,387,303,298,1,6
0,999,387,227,227,1,-1
0,1226,387,239,169,12,0
0,1465,368,242,145,22,-2
0,1707,368,170,113,-1,0
0,1877,184,105,94,-12,9
0,0,545,97,97,-14,15
0,97,545,94,107,-21,16
0,191,545,31,29,1,0
0,222,545,97,114,-37,46
0,319,633,163,169,-3,0
0,482,633,159,177,3,0
0,641,685,159,178,5,5
0,800,685,26,39,0,0
0,826,685,54,60,0,0
0,880,685,66,75,1,0
0,946,685,74,83,0,0
0,1020,614,97,116,0,0
0,1117,614,112,129,2,2
0,1229,556,153,158,0,1
0,1382,556,154,162,3,0
0,1536,513,173,168,0,-4
0,1709,481,169,166,-5,-3
0,1878,278,169,167,-5,-2
0,0,652,163,166,-4,-1
