bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,77,75,0,0
0,77,0,76,74,0,0
0,153,0,79,75,0,0
0,232,0,79,83,0,0
0,311,0,82,85,0,0
0,393,0,73,78,0,0
0,466,0,81,71,0,0
0,547,0,75,72,0,0
0,622,0,118,48,0,0
0,740,0,117,74,0,0
0,857,0,100,107,0,0
0,957,0,70,119,0,0
0,1027,0,38,126,0,0
0,1065,0,72,118,0,0
0,1137,0,102,94,0,0
0,1239,0,118,64,0,0
0,1357,0,49,40,0,0
0,1406,0,55,32,0,0
0,1461,0,54,25,0,0
0,1515,0,51,41,0,0
0,1566,0,44,51,0,0
0,1610,0,34,54,0,0
0,1644,0,32,55,0,0
0,1676,0,44,49,0,0
0,1720,0,102,65,0,0
0,1822,0,101,38,0,0
0,1923,0,101,44,0,0
0,0,75,105,72,0,0
0,105,75,101,105,0,0
0,206,83,103,102,0,0
0,309,85,102,99,0,0
0,411,78,102,82,0,0
0,513,72,207,183,-8,12
0,720,107,205,180,-8,11
0,925,126,205,184,-8,8
0,1130,118,205,177,-8,10
0,1335,64,206,178,-7,9
0,1541,65,203,178,-8,10
0,1744,65,203,188,-8,13
0,0,180,203,181,-7,9
0,203,185,207,177,-8,9
0,410,255,203,177,-8,8
0,613,287,209,178,-6,8
0,822,310,206,178,-8,9
0,1028,310,253,72,0,0
0,1281,295,261,80,0,3
0,1542,253,273,102,-6,11
0,0,362,278,131,-2,10
0,278,432,286,152,-1,8
0,564,488,290,249,1,-33
0,854,488,302,175,-7,8
0,1156,382,316,193,-3,3
0,1472,375,324,213,-2,5
0,0,584,349,229,-3,5
0,349,737,354,231,-3,6
0,703,737,365,239,0,4
0,1068,663,370,247,0,6
0,1438,588,65,58,-119,0
0,1503,588,96,99,-121,20
0,1599,588,98,150,-120,46
0,1697,588,141,246,-120,82
0,1838,481.5,161,264,-109,107
0,0,813,181,307,-76,113
0,181,968,194,319,-58,118
0,375,968,196,327,-49,119
0,571,976,196,336,-33,123
0,767,976,232,271,-28,88
0,999,976,275,177,-17,37
0,1274,910,258,175,-15,36
0,1532,834,214,167,-13,32
0,1746,834,186,220,-4,62
0,0,1120,171,269,8,86
0,171,1287,176,288,13,97
0,347,1295,169,295,17,100
0,516,1312,166,302,12,105
0,682,1312,165,323,5,115
0,847,1247,156,323,6,115
0,1003,1153,141,320,8,115
0,1144,1153,147,322,9,116
0,1291,1085,149,314,7,111
0,1440,1085,148,302,7,105
0,1588,1001,156,295,-2,102
0,1744,1054,165,199,-14,55
0,0,1575,224,91,0,0
0,224,1590,212,99,-4,9
0,436,1614,215,99,-3,7
0,651,1635,233,123,-2,20
0,884,1570,226,144,0,27
0,1110,1475,228,140,-8,28
0,1338,1399,220,141,-1,26
0,1558,1387,224,139,-3,26
