bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,75,86,0,0
0,75,0,92,92,0,0
0,167,0,105,91,0,0
0,272,0,140,93,0,0
0,412,0,172,94,0,0
0,584,0,206,92,0,0
0,790,0,233,89,0,0
0,1023,0,303,92,0,0
0,1326,0,359,97,0,0
0,0,93,405,101,0,0
0,405,94,454,103,0,0
0,859,92,466,107,0,0
0,1325,97,493,105,0,0
0,0,197,496,101,0,0
0,496,199,507,102,0,0
0,1003,202,503,102,0,0
0,1506,202,502,102,0,0
0,0,301,509,99,0,0
0,509,304,509,105,0,0
0,1018,304,509,104,0,0
0,1527,304,507,104,0,0
0,0,409,535,138,0,0
0,535,409,535,138,0,0
0,1070,408,566,458,0,0
0,1636,408,27,11,-14,24
0,1663,408,38,38,-21,11
0,1701,408,38,60,-21,0
0,1739,408,44,66,-18,-2
0,1783,408,68,67,-5,-3
0,1851,408,81,67,0,-3
0,1932,408,82,67,1,-3
0,0,547,82,73,0,0
0,82,547,82,73,0,0
0,164,547,82,73,0,0
0,246,547,82,73,-1,0
0,328,547,82,73,0,0
0,410,547,28,29,0,1
0,438,547,28,29,0,1
0,466,547,28,29,1,1
0,494,547,28,29,0,1
0,522,547,28,29,0,1
0,550,547,28,29,1,1
0,578,547,397,12,0,0
0,975,547,22,20,0,0
0,997,547,34,32,0,0
0,1031,866,45,46,0,0
0,1076,866,40,41,0,0
0,1116,866,37,36,0,0
0,1153,866,32,31,0,0
0,1185,866,32,31,0,0
0,1217,866,32,32,0,0
